Date,Stock_Code,Price,Sector
2023-01-01,001,277.46,Energy
2023-01-02,001,276.75,Energy
2023-01-03,001,278.1,Energy
2023-01-04,001,278.45,Energy
2023-01-05,001,281.7,Energy
2023-01-06,001,280.67,Energy
2023-01-07,001,281.39,Energy
2023-01-08,001,279.63,Energy
2023-01-09,001,279.11,Energy
2023-01-10,001,278.15,Energy
2023-01-11,001,278.01,Energy
2023-01-12,001,278.02,Energy
2023-01-13,001,279.4,Energy
2023-01-14,001,279.8,Energy
2023-01-15,001,283.44,Energy
2023-01-16,001,281.03,Energy
2023-01-17,001,283.56,Energy
2023-01-18,001,284.57,Energy
2023-01-19,001,285.07,Energy
2023-01-20,001,284.98,Energy
2023-01-21,001,282.55,Energy
2023-01-22,001,284.31,Energy
2023-01-23,001,284.67,Energy
2023-01-24,001,285.84,Energy
2023-01-25,001,285.01,Energy
2023-01-26,001,284.66,Energy
2023-01-27,001,282.65,Energy
2023-01-28,001,283.63,Energy
2023-01-29,001,281.97,Energy
2023-01-30,001,282.68,Energy
2023-01-31,001,283.76,Energy
2023-02-01,001,287.47,Energy
2023-02-02,001,289.23,Energy
2023-02-03,001,288.48,Energy
2023-02-04,001,290.78,Energy
2023-02-05,001,291.41,Energy
2023-02-06,001,293.3,Energy
2023-02-07,001,293.9,Energy
2023-02-08,001,295.06,Energy
2023-02-09,001,296.42,Energy
2023-02-10,001,297.97,Energy
2023-02-11,001,297.41,Energy
2023-02-12,001,298.47,Energy
2023-02-13,001,298.98,Energy
2023-02-14,001,297.89,Energy
2023-02-15,001,299.87,Energy
2023-02-16,001,299.81,Energy
2023-02-17,001,301.06,Energy
2023-02-18,001,303.0,Energy
2023-02-19,001,304.18,Energy
2023-02-20,001,304.37,Energy
2023-02-21,001,307.77,Energy
2023-02-22,001,307.48,Energy
2023-02-23,001,309.99,Energy
2023-02-24,001,311.61,Energy
2023-02-25,001,311.81,Energy
2023-02-26,001,311.63,Energy
2023-02-27,001,313.02,Energy
2023-02-28,001,311.27,Energy
2023-03-01,001,313.64,Energy
2023-03-02,001,311.62,Energy
2023-03-03,001,312.93,Energy
2023-03-04,001,313.93,Energy
2023-03-05,001,311.07,Energy
2023-03-06,001,312.85,Energy
2023-03-07,001,309.6,Energy
2023-03-08,001,311.02,Energy
2023-03-09,001,314.01,Energy
2023-03-10,001,316.36,Energy
2023-03-11,001,317.11,Energy
2023-03-12,001,317.45,Energy
2023-03-13,001,317.06,Energy
2023-03-14,001,315.86,Energy
2023-03-15,001,314.69,Energy
2023-03-16,001,316.83,Energy
2023-03-17,001,259.45,Energy
2023-03-18,001,257.96,Energy
2023-03-19,001,256.48,Energy
2023-03-20,001,258.73,Energy
2023-03-21,001,256.89,Energy
2023-03-22,001,256.11,Energy
2023-03-23,001,255.85,Energy
2023-03-24,001,252.16,Energy
2023-03-25,001,254.21,Energy
2023-03-26,001,253.02,Energy
2023-03-27,001,253.37,Energy
2023-03-28,001,255.84,Energy
2023-03-29,001,252.88,Energy
2023-03-30,001,252.81,Energy
2023-03-31,001,254.13,Energy
2023-04-01,001,253.47,Energy
2023-04-02,001,251.56,Energy
2023-04-03,001,250.97,Energy
2023-04-04,001,252.5,Energy
2023-04-05,001,253.21,Energy
2023-04-06,001,254.86,Energy
2023-04-07,001,254.67,Energy
2023-04-08,001,252.48,Energy
2023-04-09,001,249.88,Energy
2023-04-10,001,248.87,Energy
2023-04-11,001,247.03,Energy
2023-04-12,001,247.03,Energy
2023-04-13,001,247.92,Energy
2023-04-14,001,248.7,Energy
2023-04-15,001,250.56,Energy
2023-04-16,001,251.49,Energy
2023-04-17,001,250.63,Energy
2023-04-18,001,249.4,Energy
2023-04-19,001,247.29,Energy
2023-04-20,001,247.61,Energy
2023-04-21,001,247.53,Energy
2023-04-22,001,248.1,Energy
2023-04-23,001,249.56,Energy
2023-04-24,001,250.22,Energy
2023-04-25,001,252.1,Energy
2023-04-26,001,253.12,Energy
2023-04-27,001,251.35,Energy
2023-04-28,001,247.84,Energy
2023-04-29,001,245.58,Energy
2023-04-30,001,244.51,Energy
2023-05-01,001,244.06,Energy
2023-05-02,001,244.69,Energy
2023-05-03,001,245.05,Energy
2023-05-04,001,246.65,Energy
2023-05-05,001,247.51,Energy
2023-05-06,001,247.0,Energy
2023-05-07,001,245.45,Energy
2023-05-08,001,245.51,Energy
2023-05-09,001,243.94,Energy
2023-05-10,001,245.99,Energy
2023-05-11,001,247.03,Energy
2023-05-12,001,247.18,Energy
2023-05-13,001,247.24,Energy
2023-05-14,001,246.07,Energy
2023-05-15,001,246.32,Energy
2023-05-16,001,247.58,Energy
2023-05-17,001,248.29,Energy
2023-05-18,001,246.66,Energy
2023-05-19,001,248.43,Energy
2023-05-20,001,249.6,Energy
2023-05-21,001,248.57,Energy
2023-05-22,001,249.37,Energy
2023-05-23,001,248.89,Energy
2023-05-24,001,249.95,Energy
2023-05-25,001,251.72,Energy
2023-05-26,001,252.32,Energy
2023-05-27,001,253.15,Energy
2023-05-28,001,252.77,Energy
2023-05-29,001,254.53,Energy
2023-05-30,001,252.14,Energy
2023-05-31,001,251.33,Energy
2023-06-01,001,250.03,Energy
2023-06-02,001,251.0,Energy
2023-06-03,001,249.34,Energy
2023-06-04,001,248.66,Energy
2023-06-05,001,247.89,Energy
2023-06-06,001,245.81,Energy
2023-06-07,001,244.58,Energy
2023-06-08,001,244.9,Energy
2023-06-09,001,244.99,Energy
2023-06-10,001,245.2,Energy
2023-06-11,001,245.63,Energy
2023-06-12,001,246.87,Energy
2023-06-13,001,246.46,Energy
2023-06-14,001,247.07,Energy
2023-06-15,001,247.89,Energy
2023-06-16,001,249.55,Energy
2023-06-17,001,249.72,Energy
2023-06-18,001,246.94,Energy
2023-06-19,001,247.24,Energy
2023-06-20,001,247.72,Energy
2023-06-21,001,248.87,Energy
2023-06-22,001,249.91,Energy
2023-06-23,001,249.72,Energy
2023-06-24,001,249.69,Energy
2023-06-25,001,250.6,Energy
2023-06-26,001,252.87,Energy
2023-06-27,001,254.31,Energy
2023-06-28,001,253.83,Energy
2023-06-29,001,255.34,Energy
2023-06-30,001,256.3,Energy
2023-07-01,001,256.24,Energy
2023-07-02,001,255.01,Energy
2023-07-03,001,255.48,Energy
2023-07-04,001,255.46,Energy
2023-07-05,001,256.22,Energy
2023-07-06,001,257.36,Energy
2023-07-07,001,258.06,Energy
2023-07-08,001,258.0,Energy
2023-07-09,001,258.04,Energy
2023-07-10,001,257.2,Energy
2023-07-11,001,255.45,Energy
2023-07-12,001,254.58,Energy
2023-07-13,001,255.42,Energy
2023-07-14,001,255.16,Energy
2023-07-15,001,255.84,Energy
2023-07-16,001,255.93,Energy
2023-07-17,001,254.65,Energy
2023-07-18,001,254.07,Energy
2023-07-19,001,255.37,Energy
2023-07-20,001,301.64,Energy
2023-07-21,001,304.5,Energy
2023-07-22,001,302.73,Energy
2023-07-23,001,300.08,Energy
2023-07-24,001,297.66,Energy
2023-07-25,001,297.21,Energy
2023-07-26,001,297.59,Energy
2023-07-27,001,300.43,Energy
2023-07-28,001,302.3,Energy
2023-07-29,001,301.94,Energy
2023-07-30,001,301.66,Energy
2023-07-31,001,301.44,Energy
2023-08-01,001,301.17,Energy
2023-08-02,001,301.76,Energy
2023-08-03,001,302.06,Energy
2023-08-04,001,299.24,Energy
2023-08-05,001,299.63,Energy
2023-08-06,001,300.83,Energy
2023-08-07,001,300.95,Energy
2023-08-08,001,300.04,Energy
2023-08-09,001,303.19,Energy
2023-08-10,001,302.11,Energy
2023-08-11,001,299.85,Energy
2023-08-12,001,299.81,Energy
2023-08-13,001,296.03,Energy
2023-08-14,001,295.26,Energy
2023-08-15,001,295.88,Energy
2023-08-16,001,296.31,Energy
2023-08-17,001,295.28,Energy
2023-08-18,001,294.06,Energy
2023-08-19,001,294.97,Energy
2023-08-20,001,293.32,Energy
2023-08-21,001,294.26,Energy
2023-08-22,001,292.15,Energy
2023-08-23,001,291.51,Energy
2023-08-24,001,294.03,Energy
2023-08-25,001,295.98,Energy
2023-08-26,001,296.16,Energy
2023-08-27,001,295.79,Energy
2023-08-28,001,295.59,Energy
2023-08-29,001,291.87,Energy
2023-08-30,001,293.37,Energy
2023-08-31,001,293.05,Energy
2023-09-01,001,292.03,Energy
2023-09-02,001,292.15,Energy
2023-09-03,001,294.64,Energy
2023-09-04,001,295.91,Energy
2023-09-05,001,293.48,Energy
2023-09-06,001,296.52,Energy
2023-09-07,001,296.88,Energy
2023-09-08,001,294.9,Energy
2023-09-09,001,294.85,Energy
2023-09-10,001,294.19,Energy
2023-09-11,001,295.08,Energy
2023-09-12,001,294.37,Energy
2023-09-13,001,293.71,Energy
2023-09-14,001,295.1,Energy
2023-09-15,001,296.63,Energy
2023-09-16,001,296.92,Energy
2023-09-17,001,298.54,Energy
2023-09-18,001,297.91,Energy
2023-09-19,001,298.41,Energy
2023-09-20,001,298.02,Energy
2023-09-21,001,296.52,Energy
2023-09-22,001,294.67,Energy
2023-09-23,001,293.75,Energy
2023-09-24,001,292.09,Energy
2023-09-25,001,292.84,Energy
2023-09-26,001,292.04,Energy
2023-09-27,001,289.47,Energy
2023-09-28,001,290.83,Energy
2023-09-29,001,290.94,Energy
2023-09-30,001,286.67,Energy
2023-10-01,001,289.79,Energy
2023-10-02,001,291.01,Energy
2023-10-03,001,291.18,Energy
2023-10-04,001,290.95,Energy
2023-10-05,001,293.47,Energy
2023-10-06,001,294.65,Energy
2023-10-07,001,292.66,Energy
2023-10-08,001,296.88,Energy
2023-10-09,001,297.49,Energy
2023-10-10,001,295.77,Energy
2023-10-11,001,295.46,Energy
2023-10-12,001,296.16,Energy
2023-10-13,001,294.48,Energy
2023-10-14,001,293.37,Energy
2023-10-15,001,290.79,Energy
2023-10-16,001,292.7,Energy
2023-10-17,001,291.21,Energy
2023-10-18,001,290.34,Energy
2023-10-19,001,290.1,Energy
2023-10-20,001,286.94,Energy
2023-10-21,001,287.91,Energy
2023-10-22,001,286.83,Energy
2023-10-23,001,286.56,Energy
2023-10-24,001,286.25,Energy
2023-10-25,001,284.91,Energy
2023-10-26,001,286.85,Energy
2023-10-27,001,288.54,Energy
2023-10-28,001,257.28,Energy
2023-10-29,001,259.02,Energy
2023-10-30,001,257.35,Energy
2023-10-31,001,259.63,Energy
2023-11-01,001,258.21,Energy
2023-11-02,001,258.57,Energy
2023-11-03,001,257.29,Energy
2023-11-04,001,259.04,Energy
2023-11-05,001,255.73,Energy
2023-11-06,001,255.64,Energy
2023-11-07,001,254.97,Energy
2023-11-08,001,254.47,Energy
2023-11-09,001,251.12,Energy
2023-11-10,001,252.9,Energy
2023-11-11,001,253.18,Energy
2023-11-12,001,251.52,Energy
2023-11-13,001,251.52,Energy
2023-11-14,001,251.76,Energy
2023-11-15,001,251.12,Energy
2023-11-16,001,253.68,Energy
2023-11-17,001,253.57,Energy
